plant_id,plant_name,country,year,co2_emissions_tons,co2_captured_tons,energy_consumption_kwh,renewable_energy_percentage,revenue_usd,expenses_usd,biodiversity_impact_score,ecosystem_impact_area_ha,species_impacted,reforestation_area_ha,compliance_score,audit_count,women_in_leadership_percentage,investment_social_programs_usd,risk_category,risk_description,mitigation_plan,future_emission_projection_tons,paris_agreement_alignment_score
dd59a6b0,Pham-Hernandez,Antigua and Barbuda,2015,3474.06,288.38,3300704.36,99.56,38051334.77,13133747.27,7.97,52.34,50,43.81,92.81,1,15.5,318220.73,Low,Piece all budget dinner order resource.,Area price near.,535.0,98.38
858d3407,Anderson and Sons,Puerto Rico,2019,3842.09,332.79,371160.08,97.98,35693773.87,16541418.78,8.5,57.31,40,82.0,87.31,4,35.24,76248.97,High,Themselves story scene put job whatever note.,Father all executive wide.,1526.52,75.23
4a48a5d2,Clark-Crawford,Mexico,2020,1270.06,892.07,1333849.9,69.39,6979940.31,12554467.51,7.3,29.23,27,86.82,73.56,1,42.55,345135.36,High,Magazine how provide ahead around hotel.,Study either term happy can.,4490.9,87.79
787c63df,Briggs-Riley,Turkmenistan,2018,1170.65,954.98,4590526.71,20.59,17079347.46,2491742.77,1.21,48.9,1,89.27,83.9,2,19.36,126214.8,Medium,Bring their break individual.,Case less all discuss wife ready answer.,2676.23,72.45
753866fb,Williams and Sons,Cape Verde,2018,3904.09,666.06,2151165.97,21.6,23863236.16,9108165.66,8.34,79.12,14,82.57,85.5,5,41.42,285282.43,High,Cultural specific next similar matter keep five leader.,Fire indeed might magazine.,3335.27,80.71
794de3ff,Kemp-Leonard,Tokelau,2022,1312.99,425.39,1297163.18,12.95,35971517.92,16519950.45,3.22,29.79,13,2.0,76.89,1,46.36,19921.06,Low,Nearly population can risk.,Receive before capital again their.,2497.72,94.24
f66681ed,Daniel Ltd,Tanzania,2017,2271.02,647.67,298097.9,53.65,46594452.59,19558858.61,3.36,6.2,8,71.14,75.95,1,23.61,287774.17,High,Soon development staff staff.,Time bill long hour skin remember board.,1003.43,50.63
6d5f0558,"Morgan, Burgess and Fox",Burkina Faso,2017,3029.57,634.93,4432026.18,78.94,20648795.24,18090979.93,4.78,71.86,3,64.89,94.83,1,42.57,126758.14,Medium,Gas technology there country growth.,Determine smile great from service give some.,706.92,63.32
fea59416,Jones-Lawrence,Cook Islands,2018,2404.72,367.88,3991286.39,83.4,25247041.47,19232057.3,4.91,4.98,12,91.24,79.26,1,32.26,169309.02,Low,Everyone than country music weight leave.,Hospital probably fly art.,4528.0,82.77
a660115c,Dunn-Morales,San Marino,2020,1836.66,261.73,2438935.31,64.06,16972072.73,583835.42,6.83,67.15,47,70.05,98.46,4,40.65,321294.58,Medium,Century field letter.,Range today keep machine.,3855.69,96.45
61c1f8de,Gordon-Lewis,Antarctica (the territory South of 60 deg S),2020,4849.46,261.45,873809.21,28.16,27803344.48,7675298.68,5.46,79.72,49,72.88,78.78,2,42.4,487406.17,Medium,Citizen bank half computer.,Word head think degree order.,4497.5,39.7
a3205bc7,"Smith, Martin and Brewer",Belgium,2019,4600.83,906.06,3912308.2,78.35,47785174.83,6502141.75,3.23,79.34,20,8.64,78.01,1,13.69,89647.36,Medium,Past among author worry.,It point southern occur though describe.,1251.18,46.58
18f0c599,Wells-Martinez,Antigua and Barbuda,2021,834.72,947.96,3248407.64,13.17,18136826.63,3241475.27,5.81,14.21,42,14.12,85.34,1,43.32,498245.48,Medium,Like special collection field inside second save.,Middle try stay medical.,2450.34,28.4
fee6fd0b,Miller-Jackson,British Virgin Islands,2018,534.16,139.26,1653282.26,97.87,29236615.6,6279299.77,1.93,69.18,33,79.81,98.57,1,12.21,56373.37,High,Step own exist play improve tend play successful.,Get behavior sometimes kind.,4299.38,39.75
ee2affe0,Bass-Bryant,Papua New Guinea,2015,2890.67,650.8,2662154.24,15.52,28251163.21,7242163.66,1.16,5.27,19,12.77,78.49,1,49.61,380684.69,Medium,Then first hour by various message red.,Without way already pick.,475.78,37.47
17c0bc36,Wilson-Jones,Bolivia,2022,2997.73,295.61,4482450.69,15.64,25805832.95,16307286.11,9.68,9.61,43,90.5,97.25,3,21.6,138937.14,Low,Several medical consider according enter fear.,Candidate agency subject put individual gas without.,3049.05,5.93
5f139bf1,Johnson and Sons,Mayotte,2020,2708.13,521.16,310032.53,98.86,13734733.27,15519686.64,2.13,50.9,32,6.63,73.89,5,39.47,325720.08,Medium,School happen focus dinner east behavior kitchen.,Visit stay read though both benefit official throw.,4224.38,52.61
eae52345,Martinez LLC,Malaysia,2022,3009.94,117.54,3963124.53,96.23,23747030.67,13440308.59,4.12,78.28,36,89.16,74.98,3,42.32,268980.16,Low,Above clearly town role own when contain.,First Democrat growth here tough.,4478.02,38.47
9a5fddfa,Jordan Ltd,Peru,2017,1567.39,203.08,2327119.66,66.63,34604146.81,2163690.84,2.33,96.93,9,14.64,88.7,4,47.25,481099.48,Medium,Say build compare suggest.,Call more beautiful difference serve here.,491.15,81.52
f93094cc,"Moore, Smith and Adams",Equatorial Guinea,2023,3413.03,891.54,548480.24,25.91,42196690.84,5411357.95,9.37,26.54,40,90.1,84.68,3,13.88,460839.19,Low,Democrat talk election often person politics suddenly I.,Fine authority thank book road six.,3320.85,16.32
4e1515b1,"Farley, Fowler and Sparks",Belarus,2016,1602.42,825.22,1436636.65,57.41,5724103.96,16365819.83,8.08,55.94,5,2.48,95.03,2,12.65,191575.81,Medium,Thank need establish human follow time account.,Authority step relationship project level claim feel then.,2164.73,8.64
927646a0,Cantu-Walker,Congo,2021,1262.43,632.39,4223087.2,35.3,7001361.71,3680855.25,1.41,77.1,41,89.5,77.52,4,35.25,105901.7,Low,Read choose art.,Exist community wish lead indicate.,470.62,76.52
5feec2a4,"Walters, Henderson and Jones",Turkey,2019,1126.3,959.0,1579122.62,95.98,41146610.86,15759405.73,3.75,31.03,36,64.09,82.29,1,45.18,429579.21,Medium,Other board window argue wrong choose.,Someone lot exactly agent power force.,1093.06,8.01
1b5a7e4c,Griffin-Meyer,Somalia,2023,2533.47,641.62,4287899.81,15.8,1730403.81,1309782.7,7.01,64.13,8,8.65,92.59,1,30.6,223907.55,High,Itself federal enter say amount imagine glass institution.,Exactly building assume wind.,3037.64,98.33
42bc3fa3,Cole-Moreno,New Caledonia,2017,4769.13,247.07,549832.0,28.54,48954481.63,3503212.93,1.95,30.28,23,80.75,79.35,3,20.83,375543.01,Medium,Friend property our any.,Letter five pattern might such.,1231.19,70.36
6b3f11de,Bullock Inc,Vanuatu,2021,562.33,786.61,3388124.17,24.01,15794872.34,12290657.67,2.03,53.96,19,95.51,91.5,4,16.27,11737.43,Low,Stuff hair difficult describe compare institution.,Discover prevent involve for tax door.,2165.9,17.21
c4607706,Stevenson LLC,Andorra,2023,4459.15,207.63,1052228.97,80.69,28552526.51,13699382.33,7.93,57.85,39,24.17,94.08,5,34.02,403533.99,Low,Address second look boy help peace range.,Address want red.,2070.83,94.55
6f29da96,Pope Group,Maldives,2016,2675.73,170.69,821116.89,17.95,45677732.58,15014709.58,1.19,59.93,38,88.16,78.04,4,21.99,125056.25,Low,Send popular rate total blood popular chance.,Sport turn light both country drug.,4111.73,15.38
5c592e0e,Adams-Stewart,Thailand,2019,1864.96,895.28,3027013.21,43.72,2745426.43,11476435.79,5.6,49.18,27,78.54,82.71,2,19.84,383677.71,High,Item have child system religious card investment.,A ability make talk laugh radio reduce manager.,4121.63,89.85
80eeab7b,Taylor LLC,French Polynesia,2015,3964.59,674.38,647308.15,97.58,21475700.8,6951948.88,4.28,40.33,43,8.04,80.98,2,17.59,61193.55,Low,Matter fly community clear customer chance seek game.,Thousand white tree message wife national.,1472.69,79.66
1fc4abc1,Doyle-Eaton,Suriname,2022,4986.35,401.29,3452728.33,91.18,30808494.39,19060211.94,9.21,52.72,33,32.11,92.16,1,17.51,484279.85,Low,Whole why despite who here stage more born.,About manager cut onto star.,2993.99,83.59
0c2a077e,"Mckinney, Crawford and Adams",Tonga,2018,2539.16,578.29,127686.24,45.91,41234222.27,17518653.61,5.4,61.49,31,4.38,86.88,3,32.27,438017.41,Low,Himself road truth hour let let.,Respond necessary all chair.,571.71,76.44
00a842ec,Herman-Fuller,Bolivia,2019,4009.24,816.75,3232302.9,63.92,28171530.83,18096146.75,1.05,58.58,24,61.44,93.96,5,46.03,397489.29,Medium,Owner town develop heart.,Body to value seem.,3927.2,49.41
33f0b561,"Lane, Mann and Elliott",Niue,2019,2594.14,518.66,4853490.05,89.08,43076292.14,16399044.68,5.26,68.0,34,90.52,99.11,4,24.58,64638.82,Medium,Alone foreign store time before learn sometimes.,Through born live ready.,2635.26,76.12
fc8a4a1b,Johnson-Clark,New Caledonia,2023,1057.94,274.02,4085228.96,47.6,48538269.07,1221623.65,5.79,45.63,14,24.33,82.61,2,19.97,488972.58,High,His conference cover worker.,Dinner special strong receive table fish long.,2080.72,76.57
da1d9c98,Montoya and Sons,Sudan,2021,1262.62,241.32,900092.93,88.97,45830114.93,15590247.53,5.55,11.94,30,25.58,91.42,4,19.36,449661.83,Medium,Else whose build her detail light which.,Mean say treat choice middle.,645.81,30.66
f4f1785b,Campbell Ltd,Heard Island and McDonald Islands,2022,4409.65,85.55,4660993.21,27.43,22280797.34,7333119.97,5.28,21.53,39,90.05,81.8,2,41.39,84442.65,Medium,Natural reality believe while place.,Loss knowledge focus door employee still whose.,1171.54,34.69
8f86a143,French Group,Brunei Darussalam,2016,2810.01,462.77,519983.88,67.82,1106398.34,3737808.11,5.03,1.61,43,21.34,77.0,5,41.64,479834.79,Medium,Sure institution democratic goal act human.,Heavy health side sea less improve threat.,4532.83,64.8
7fb0ca8b,Dickson-Bailey,Singapore,2018,4393.0,782.6,1883034.99,69.62,11842698.37,3839525.26,4.5,58.59,24,86.49,93.71,2,33.88,229523.54,Low,Shoulder particularly order other level.,Color office long authority list a training religious.,3629.22,10.21
dfc0e846,Hester Group,United Arab Emirates,2017,3895.01,573.2,1976366.15,39.65,49999876.42,10677163.09,8.86,75.29,44,14.44,97.91,5,30.19,361585.09,Low,Concern true so leg choose step over interest.,Question expect chance somebody.,2405.82,36.51
5b892744,Cruz-Skinner,Israel,2017,4217.18,343.67,211709.83,35.29,1351947.2,7887677.98,3.42,17.53,43,79.67,76.72,3,23.11,67380.61,Low,Life heart purpose authority every hold his knowledge.,Might eat open save.,3300.95,1.12
6b4497c1,Harrington-Jensen,Greece,2020,2754.64,136.01,2898568.25,43.12,31109825.35,2696649.0,8.11,4.02,21,94.11,97.25,3,48.62,375927.28,High,Doctor maybe kitchen most relate draw.,Purpose worry team onto executive area.,988.51,13.27
7260fc39,Jackson-Thomas,Sudan,2015,3695.74,658.74,395993.92,98.63,5196616.41,19395084.0,6.28,60.34,40,96.95,94.38,1,12.81,430635.3,High,Former economy less seek.,Camera chance position.,3381.24,69.33
54945ce5,Payne-Harrison,Cayman Islands,2019,1242.96,902.09,4403296.77,12.39,9173863.19,8920633.34,1.97,47.65,10,64.99,77.64,5,43.69,192054.43,Low,Employee arrive issue least front not.,Result continue recognize today.,3882.68,46.35
8ee6e13e,Jones and Sons,Jamaica,2016,1751.04,826.37,3253783.99,11.3,10695014.14,4668288.42,6.74,1.29,11,11.77,86.06,3,23.45,172543.42,Medium,Know responsibility management else big movement lawyer.,Mission benefit surface.,2717.8,84.74
b93c5c0a,Boyer and Sons,Solomon Islands,2022,1961.4,329.23,798753.12,83.23,49670989.18,1563734.26,4.56,32.57,16,42.76,99.95,3,40.57,336791.95,Low,Week wall character serious who.,Reach line month need throughout.,1494.88,9.97
f597e91e,"Hoover, Mckinney and Jones",Thailand,2021,3852.23,325.46,1143968.35,56.46,41774803.6,5790010.01,6.78,12.17,48,17.49,82.04,1,47.54,182747.61,Low,At carry enter civil serious same information card.,Take smile source family short industry full sister.,1726.9,6.65
b6eac18b,"Spears, Lindsey and Young",Morocco,2019,1706.13,132.99,4903047.39,33.0,35259016.71,10151366.77,2.75,73.88,28,26.98,89.26,5,23.82,455853.56,Medium,Difference for hit sometimes.,Our deal deal feel significant really just.,2689.19,70.85
479c68d4,Terry-Pratt,Chile,2020,4327.03,755.56,1913288.43,33.08,4128710.37,3805913.86,7.31,79.41,7,87.52,99.6,1,36.34,197322.19,High,Feel voice contain few would chance.,Rest four building partner soon cup change.,3730.66,31.98
0e22a628,Hernandez Group,Luxembourg,2023,3195.61,952.23,3042858.05,47.14,40013194.6,15816161.14,2.54,23.49,12,17.89,99.03,2,39.62,203675.83,Medium,International similar relate sister prepare.,Do now responsibility couple within.,2299.11,42.03
298da403,Lopez-Owens,Malaysia,2016,3707.92,58.55,298424.84,29.32,31720367.49,9739758.14,7.79,87.74,14,25.28,78.97,3,27.67,370118.04,High,Art hear news heart contain.,Single because foot fast.,2624.37,29.11
a0ed6d05,"Bradley, Daniel and Stevens",Lesotho,2017,4143.99,490.36,1936492.89,64.09,4477820.99,18360979.59,8.6,64.49,45,33.7,90.76,5,12.76,242117.86,Low,President rock oil left and.,Exactly movement discuss owner vote brother apply next.,1238.85,0.98
b9772220,"Smith, Walker and Smith",Brunei Darussalam,2017,3064.2,267.56,899670.71,62.03,12632367.51,11523102.64,5.03,66.37,8,66.96,95.92,5,40.4,104076.2,Low,Development strategy fall author.,Talk concern owner however ever their which.,3772.81,69.09
617ce453,Shah-Smith,Iraq,2018,4186.32,818.46,2608231.56,87.38,38775998.62,2114883.57,3.96,68.12,41,59.04,89.25,2,18.96,138517.9,High,Discussion field plant trade their establish letter.,Base year all student option thousand.,2607.28,2.65
d6c36e53,Long Inc,Mali,2019,4797.53,670.6,1650501.29,17.6,24076670.54,15740153.39,3.25,29.67,9,59.07,87.15,1,25.94,253163.31,High,Value executive artist use maybe enough day.,Professional itself five house though watch partner turn.,3889.29,50.05
34db6521,"Barnes, Fleming and James",Holy See (Vatican City State),2022,4956.89,129.66,2914935.97,60.05,32978296.75,19365739.89,4.42,72.33,7,72.43,98.96,3,41.12,52974.95,Low,We industry rule your.,Role heavy kitchen top discussion.,1068.21,48.44
3f22f5f9,"Hawkins, House and Joseph",South Africa,2019,4573.97,718.83,1833466.32,28.71,8446604.65,12779573.68,7.77,3.74,4,75.03,81.0,3,25.5,301077.55,High,Shake drive put could beautiful watch.,American respond across financial.,4507.69,43.44
48f9405c,"Hughes, Roberson and Brown",France,2021,2813.11,119.06,727205.52,59.03,5999914.62,14538241.58,7.08,25.71,26,22.74,89.4,2,43.32,347608.94,High,On major thing future discuss effect.,Federal remember hot relationship near raise authority.,3626.93,10.08
7bcff766,Weaver-Smith,British Virgin Islands,2018,3156.35,254.77,3801545.47,67.1,15196290.56,3052392.79,6.45,9.22,35,22.86,72.44,3,20.08,497304.9,Medium,Foreign cell together subject for cup.,Child she study factor third.,3080.29,40.06
e9ea3468,Jones LLC,Ecuador,2016,2163.99,812.75,2923245.87,79.91,12418396.53,652216.65,1.4,51.84,44,64.14,88.69,5,15.81,119390.56,Medium,Item her card their although agent.,Song suggest section source peace read century.,3451.85,3.49
b61af020,Thomas Group,Botswana,2023,3761.38,502.03,3293659.38,99.59,1365331.94,15947011.84,7.5,14.07,26,57.12,88.57,3,28.76,137132.19,High,Smile care admit involve themselves turn about.,Smile walk young yet level reach.,1388.5,24.74
b4a22650,"Wright, Velasquez and Dudley",Saudi Arabia,2015,3590.37,110.55,3519077.47,70.26,18958766.14,4996068.33,7.91,12.48,23,39.57,92.77,4,29.14,386188.68,Medium,Then along main animal those.,Above tonight happen city performance.,604.05,59.56
33e0b459,"Mcclain, Daniel and Wang",Myanmar,2020,3083.79,150.21,1438426.34,55.37,29895810.62,2640778.19,3.3,68.39,43,9.11,83.75,2,21.89,245672.84,Low,Positive prepare store pass however.,Field effort ahead compare key.,4084.29,53.37
a45a5835,Adams-Booker,Heard Island and McDonald Islands,2022,4485.38,520.69,4027966.21,41.96,14856843.13,3574091.64,9.21,75.32,27,43.97,97.19,2,20.3,438397.12,High,Serious lot lose herself.,We simply service leave.,4590.04,55.71
5b6d45b8,"Thomas, Lloyd and Franco",Mauritania,2021,1204.06,406.78,2765992.66,41.6,18780304.14,9019679.67,6.39,33.27,18,91.35,91.03,2,37.38,39601.58,Low,Treat western interest act and.,Civil leave firm work.,4425.3,39.99
a135bab7,"Morgan, Davis and Johnson",Mauritius,2020,4167.53,757.54,3237381.14,17.09,38454417.3,16887572.66,2.89,66.15,29,53.25,83.77,3,46.34,88638.53,Medium,Simple appear main represent series piece short break.,Unit environment city poor get.,496.27,84.96
821468c6,Krueger-Mccormick,Korea,2023,2231.84,676.55,2296789.51,60.6,44501609.17,14151656.03,8.16,15.83,19,66.85,88.51,3,41.35,204138.76,High,Explain drug voice nothing television plan.,Loss force ball scene state television someone interest.,4011.42,73.07
73c6459d,Long LLC,Jordan,2021,4929.38,161.15,4261278.53,20.16,24819687.67,17517948.22,2.48,69.0,50,74.44,90.74,3,16.08,393834.51,High,Build how challenge ok.,Fly around amount.,1314.22,38.62
d1eb5a42,Harper Group,Guernsey,2015,3623.67,236.68,1345072.44,49.53,25648425.58,13864279.05,6.36,69.37,44,47.44,97.66,2,18.64,371635.65,Low,Defense interesting cold again song.,Green recent sing wish.,1275.39,20.8
93a91daf,"Bailey, Brown and Jacobs",Monaco,2017,4887.79,98.76,1531844.27,53.89,16155325.42,801726.74,8.45,57.65,45,89.63,79.53,1,48.46,483243.8,Low,Religious although owner.,Month enter bank analysis act community with.,459.27,11.93
e6162689,Butler-Smith,Mozambique,2022,4889.68,683.03,3075992.75,27.58,34759201.06,9547135.2,5.05,64.46,5,79.68,97.7,3,34.19,339817.21,Medium,Office according government simple model kind to.,Will senior book major material about.,1499.69,93.18
34accdf7,Howell Group,Portugal,2022,4255.83,777.62,4686043.98,70.12,26633550.63,15944759.51,9.44,46.22,39,15.66,92.72,2,29.6,369455.24,High,Company month fast fight day market leader.,History easy over.,3676.16,12.3
9ffe58f3,Cain-Rogers,Malta,2015,3672.89,765.19,856540.84,23.08,49682526.96,5564394.32,6.19,57.93,28,31.95,79.92,4,24.42,427731.9,Low,Argue trouble strategy here guy send research.,Present eye data exist.,2155.72,87.55
4705ce92,Rivas-Smith,Mali,2018,2035.38,629.4,2550939.64,80.54,30648725.45,8046903.74,8.07,75.61,8,88.99,95.4,5,38.36,193499.61,Low,Lead need win loss hold include yard get.,Figure drug hard glass speech local build.,4023.68,49.27
2fe1d18b,Rice Ltd,Estonia,2018,3940.22,632.07,4707118.31,27.47,28658815.75,12162475.8,9.86,31.31,37,24.35,83.44,4,38.05,335833.64,High,Option environment read thing responsibility brother statement.,Understand television instead cell home.,1771.73,45.06
7074b2da,"Jones, Rojas and Brown",Denmark,2022,3225.1,574.73,3312732.01,14.86,20035404.91,3930072.53,3.57,2.29,10,34.95,72.19,1,44.78,32814.95,Medium,Certain card produce her movie action knowledge.,Least fly ok wait cut here.,3287.85,33.33
53eca828,"Williams, Bowers and Brown",Sao Tome and Principe,2017,3601.4,61.81,3219835.21,60.28,47104291.34,15745211.02,8.92,63.8,21,11.88,92.93,2,41.36,36823.47,Medium,Accept approach example realize man second pressure contain.,Would check use all whether paper.,4235.99,5.71
eaf05f6d,Peterson-Rubio,Swaziland,2023,3690.48,160.32,2254263.48,21.43,33505015.66,8785184.28,3.31,98.62,9,43.07,96.95,4,40.65,243988.82,Low,Minute pretty agreement teach past.,Tv share close several likely full.,3805.26,0.42
2b513b4e,"Savage, Moreno and Warren",Norway,2023,1585.34,461.16,1482195.05,75.54,41228939.65,18796719.92,7.4,22.62,50,51.04,94.54,1,27.05,256865.48,Medium,Under state visit agree plan region.,Professor feeling growth put nothing participant song.,1588.89,85.01
b38e7d49,Simon-Miller,Lebanon,2020,3478.59,198.09,111033.09,99.74,6243031.52,7258336.41,5.9,45.33,50,61.11,85.53,5,41.74,244459.37,Low,Sign keep window like perhaps.,Week staff media majority question.,4194.04,50.87
e89e28b7,Hurst-Wilson,Slovakia (Slovak Republic),2017,3758.89,555.81,1342295.85,29.17,16429300.62,9249583.15,4.38,88.06,45,62.25,70.46,3,26.18,375420.1,High,Every green run their rather.,Camera event forward voice often debate water.,2203.96,71.61
01af446b,Gibson Ltd,Saint Vincent and the Grenadines,2020,1748.26,592.0,170930.6,44.94,13617517.41,13414243.83,9.42,7.12,15,59.04,72.37,2,48.16,494607.33,Low,Apply term real here cultural history feeling.,Personal late offer however eat indeed.,3662.64,49.33
3369e021,"Santos, Ruiz and Beasley",Jamaica,2018,4755.57,540.33,1401174.21,79.85,1986021.7,15507668.88,8.19,42.88,26,43.92,96.15,2,40.07,261551.61,Medium,Check audience option research.,Would ok approach size painting.,3046.69,55.34
eb322114,"Miller, Rubio and Smith",Cape Verde,2018,3359.92,119.37,1410359.59,74.28,8171968.66,5854690.86,2.91,6.65,0,47.36,85.96,3,28.12,163220.39,Low,Friend natural statement into water huge.,Between major health I.,4788.34,97.65
29e5a9bb,Clark-Frank,Madagascar,2017,3452.31,619.53,1501072.92,30.66,17147853.37,3189111.2,8.36,25.22,38,93.44,91.92,2,38.06,443144.89,High,College money its send.,Agency wife kid than organization across wall.,3629.5,19.41
aee54f62,Peters Ltd,Tunisia,2020,3437.05,244.19,180108.48,10.36,49665093.81,15084700.74,1.96,37.07,47,0.23,88.44,5,41.41,78404.89,Low,Media effort out sure.,Piece thought compare treatment sort.,704.76,92.21
61963412,Clark Group,Faroe Islands,2016,2894.17,883.93,2469088.8,38.56,12672437.42,6855818.56,1.62,20.34,33,54.74,83.16,3,40.27,88136.13,Low,Finish race family.,Media forget challenge she next school.,899.14,30.11
6a93f0c3,Rich-Simmons,Northern Mariana Islands,2021,1973.61,83.75,3990866.21,33.55,15072561.28,15955869.79,7.57,53.88,29,16.48,71.64,4,13.2,288348.79,Medium,Amount less market magazine professional argue similar.,Share election main mission race maybe me head.,649.78,38.63
1bc0f530,Smith-Jackson,Ghana,2023,1454.8,474.71,1919159.14,58.7,40463917.9,16595271.29,2.79,16.02,16,88.14,77.33,1,16.01,184576.75,Low,Television religious chair occur total under firm.,Natural food wish trouble professor trial.,4422.69,70.21
41b9a5b7,Solis Group,Cyprus,2016,878.96,235.51,3515994.14,50.27,5962039.86,7163179.85,8.4,27.22,9,82.77,73.54,4,25.01,69541.79,High,Explain similar candidate development option tell though.,Citizen claim blood service seem old.,2405.06,38.22
cd226a7b,Maxwell-Martin,Guadeloupe,2020,3825.24,92.39,3939486.33,53.42,39719807.49,8189852.54,6.85,49.56,49,34.82,95.62,3,16.72,426350.84,High,Time kind the after.,Peace glass these born development second ahead.,4793.37,79.33
f296c1c3,Davis-Hester,Suriname,2017,548.92,637.83,1437260.71,12.91,43055900.69,7093176.85,8.68,0.0,30,33.29,93.44,3,12.8,344763.73,Medium,Money down old share heart.,Along lay manage candidate of surface.,2925.77,95.35
7e76816e,Mclean-Harris,Vanuatu,2023,1685.64,381.37,240835.17,30.34,10888377.96,1107282.62,2.85,14.98,16,56.72,86.35,4,38.81,265941.03,Medium,Every degree detail far.,Feeling bring actually stage.,405.6,36.87
bda5aa03,Jimenez Group,Angola,2018,4375.45,210.66,1939194.55,61.01,25512370.06,12253162.89,2.27,7.23,12,75.96,73.87,4,24.07,122652.08,Low,Officer security likely realize shake evidence.,Energy third third doctor shoulder area against.,2020.01,94.99
fac15929,"Chase, Cantu and Lyons",Guinea,2017,4698.69,609.17,1624327.29,87.48,2587401.06,5514122.87,9.57,26.15,7,10.37,98.81,1,34.52,113280.01,High,Style mean he card.,Suggest simply pattern human up.,4768.84,68.8
77475524,"Johnson, Martin and Hendricks",Poland,2015,3284.76,456.55,2236400.88,17.56,11676887.11,1013477.86,1.03,16.22,7,56.7,79.21,4,31.96,28497.62,High,Beyond fact medical nice often eat offer.,Leave nature sometimes particular entire.,4694.68,53.7
